post,{apiRoot}/eecs-serviceprovisioning/v1/subscriptions,Creates a new subscription in ECS in order to be notified of provisioning data  changes of interest.
put,{apiRoot}/eecs-serviceprovisioning/v1/subscriptions/{subscriptionId},Updates an existing individual service provisioning subscription identified by the subscriptionId.
delete,{apiRoot}/eecs-serviceprovisioning/v1/subscriptions/{subscriptionId},Deletes an existing individual service provisioning subscription identified by the subscriptionId.
patch,{apiRoot}/eecs-serviceprovisioning/v1/subscriptions/{subscriptionId},Partially updates an existing individual service provisioning subscription identified by the subscriptionId.
post,{apiRoot}/eecs-serviceprovisioning/v1/request,Request service provisioning information.
post,{apiRoot}/eees-acrevents/v1/subscriptions,Creates a new individual ACR events subscription.
put,{apiRoot}/eees-acrevents/v1/subscriptions/{subscriptionId},Updates an existing individual ACR events subscription identified by the subscriptionId.
delete,{apiRoot}/eees-acrevents/v1/subscriptions/{subscriptionId},Deletes an existing individual ACR events subscription identified by the subscriptionId.
patch,{apiRoot}/eees-acrevents/v1/subscriptions/{subscriptionId},Partially modifyan existing individual ACR events subscription identified by the subscriptionId.
post,{apiRoot}/eees-appctxtreloc/v1/determine,Request ACR determination.
post,{apiRoot}/eees-appctxtreloc/v1/initiate,Request the initiation of ACR.
post,{apiRoot}/eees-appctxtreloc/v1/declare,Informs about the selected target EAS and provides the associated information.
post,{apiRoot}/eees-easdiscovery/v1/subscriptions,Creates a new individual EAS discovery subscription.
put,{apiRoot}/eees-easdiscovery/v1/subscriptions/{subscriptionId},Updates an existing individual EAS discovery subscription identified by the subscriptionId.
delete,{apiRoot}/eees-easdiscovery/v1/subscriptions/{subscriptionId},Deletes an existing individual EAS discovery subscription identified by the subscriptionId.
patch,{apiRoot}/eees-easdiscovery/v1/subscriptions/{subscriptionId},Partial update an existing EAS Discovery Subscription resource identified by a subscriptionId.
post,{apiRoot}/eees-easdiscovery/v1/eas-profiles/request-discovery,Provides EAS information requested by the service consumer (i.e. EEC EAS or EES).
post,{apiRoot}/eees-eecregistration/v1/registrations,Create a new EEC registration at the EES.
put,{apiRoot}/eees-eecregistration/v1/registrations/{registrationId},Update an existing EEC registration a the EES.
delete,{apiRoot}/eees-eecregistration/v1/registrations/{registrationId},Remove an existing ECC registration at EES.
patch,{apiRoot}/eees-eecregistration/v1/registrations/{registrationId},partially update an existing EEC registration a the EES.
post,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/consumption-reporting-configuration,Activate the consumption reporting procedure for the specified Provisioning Session by providing the Consumption Reporting Configuration
get,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/consumption-reporting-configuration,Retrieve the Consumption Reporting Configuration of the specified Provisioning Session
put,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/consumption-reporting-configuration,Update the Consumption Reporting Configuration for the specified Provisioning Session
patch,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/consumption-reporting-configuration,Patch the Consumption Reporting Configuration for the specified Provisioning Session
delete,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/consumption-reporting-configuration,Destroy the current Consumption Reporting Configuration of the specified Provisioning Session
post,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/content-hosting-configuration,Create (and optionally upload) the Content Hosting Configuration for the specified Provisioning Session
get,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/content-hosting-configuration,Retrieve the Content Hosting Configuration of the specified Provisioning Session
put,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/content-hosting-configuration,Update the Content Hosting Configuration for the specified Provisioning Session
patch,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/content-hosting-configuration,Patch the Content Hosting Configuration for the specified Provisioning Session
delete,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/content-hosting-configuration,Destroy the current Content Hosting Configuration of the specified Provisioning Session
post,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/content-hosting-configuration/purge,Purge the content of the cache for the Content Hosting Configuration of the specified Provisioning Session
post,{apiRoot}/3gpp-m1/v2/provisioning-sessions/{provisioningSessionId}/content-preparation-templates,Create (and optionally upload) a new Content Preparation Template for the specified Provisioning Session
